date,equity,cash,position_value,shares
2025-08-25,214270.31,12670.31,201600.0,4200
2025-08-26,203568.18,12552.18,191016.0,4200
2025-08-27,204576.18,12552.18,192024.0,4200
2025-08-28,218100.18,12552.18,205548.0,4200
2025-08-29,238517.23,12431.23,226086.0,4200
2025-09-01,245899.18,12295.18,233604.0,4200
2025-09-02,238732.28,17824.28,220908.0,4100
2025-09-03,240238.74,12430.74,227808.0,4200
2025-09-04,235576.74,12430.74,223146.0,4200
2025-09-05,246916.74,12430.74,234486.0,4200
2025-09-08,228172.15,12292.15,215880.0,4200
2025-09-09,217210.15,12292.15,204918.0,4200
2025-09-10,228827.95,228827.95,0.0,0
2025-09-11,241065.74,16713.74,224352.0,3800
2025-09-12,251799.49,16579.49,235220.0,3800
2025-09-15,244062.7,16442.7,227620.0,3800
2025-09-16,243586.02,130099.02,113487.0,1900
2025-09-17,250405.85,18149.85,232256.0,3800
2025-09-18,262582.44,18014.44,244568.0,3800
2025-09-19,269044.79,17864.79,251180.0,3800
2025-09-22,285613.06,17713.06,267900.0,3800
2025-09-23,286848.71,17542.71,269306.0,3800
2025-09-24,278179.85,17385.85,260794.0,3800
2025-09-25,277533.85,17385.85,260148.0,3800
2025-09-26,263891.85,17385.85,246506.0,3800
2025-09-29,263606.4,263606.4,0.0,0
2025-09-30,263606.4,263606.4,0.0,0
2025-10-09,263606.4,263606.4,0.0,0
2025-10-10,256680.33,17604.33,239076.0,3600
2025-10-13,246132.33,17604.33,228528.0,3600
2025-10-14,232596.33,17604.33,214992.0,3600
2025-10-15,233504.81,214490.81,19014.0,300
2025-10-16,238586.36,16021.36,222565.0,3500
2025-10-17,226056.36,16021.36,210035.0,3500
2025-10-20,233231.36,16021.36,217210.0,3500
2025-10-21,254021.36,16021.36,238000.0,3500
2025-10-22,245131.36,16021.36,229110.0,3500
2025-10-23,239986.36,16021.36,223965.0,3500
2025-10-24,251396.36,16021.36,235375.0,3500
2025-10-27,270681.36,16021.36,254660.0,3500
2025-10-28,274687.42,15722.42,258965.0,3500
2025-10-29,298363.06,15563.06,282800.0,3500
2025-10-30,288294.87,15399.87,272895.0,3500
2025-10-31,267399.87,15399.87,252000.0,3500
2025-11-03,277219.37,15104.37,262115.0,3500
2025-11-04,272319.37,15104.37,257215.0,3500
2025-11-05,278444.37,15104.37,263340.0,3500
2025-11-06,281874.37,15104.37,266770.0,3500
2025-11-07,269554.37,15104.37,254450.0,3500
2025-11-10,265354.37,15104.37,250250.0,3500
2025-11-11,253209.37,15104.37,238105.0,3500
2025-11-12,255204.37,15104.37,240100.0,3500
2025-11-13,253069.37,15104.37,237965.0,3500
2025-11-14,240049.37,15104.37,224945.0,3500
2025-11-17,240435.89,220953.89,19482.0,300
2025-11-18,240683.98,201851.98,38832.0,600
2025-11-19,240680.16,221162.16,19518.0,300
2025-11-20,240919.66,221137.66,19782.0,300
2025-11-21,238617.77,202215.77,36402.0,600
2025-11-24,238784.66,238784.66,0.0,0
2025-11-25,239705.75,13265.75,226440.0,4000
2025-11-26,248720.27,13000.27,235720.0,4000
2025-11-27,253792.19,12712.19,241080.0,4000
2025-11-28,255257.16,18449.16,236808.0,3900
2025-12-01,252270.77,228346.77,23924.0,400
2025-12-02,252702.05,228318.05,24384.0,400
2025-12-03,255266.04,14714.04,240552.0,3900
2025-12-04,252143.72,227583.72,24560.0,400
2025-12-05,252001.97,227553.97,24448.0,400
2025-12-08,252888.81,227524.81,25364.0,400
2025-12-09,253103.05,253103.05,0.0,0
2025-12-10,253103.05,253103.05,0.0,0
2025-12-11,253103.05,253103.05,0.0,0
2025-12-12,253103.05,253103.05,0.0,0
2025-12-15,253103.05,253103.05,0.0,0
2025-12-16,253094.8,229514.8,23580.0,400
2025-12-17,254086.43,229486.43,24600.0,400
2025-12-18,253290.18,253290.18,0.0,0
