code	name	market	market_name	sectors	sector_codes	concepts	concept_codes	updated_at
sh600037	XD歌华有	sh_main	上证主板	电视广播Ⅲ|电视广播Ⅱ|传媒	BK1291|BK1219|BK0486	2025年报扭亏|破增发价股|小盘价值|文娱消费|小盘股|破净股|数据中心|虚拟现实|证金持股|沪股通|阿里概念|央国企改革|在线教育|大数据|智慧城市|融资融券|云计算|物联网|网络游戏	BK1679|BK1673|BK1668|BK1654|BK1643|BK1112|BK0922|BK0722|BK0718|BK0707|BK0689|BK0683|BK0662|BK0634|BK0628|BK0596|BK0579|BK0554|BK0509	2026-06-20 11:26:42
sh600038	中直股份	sh_main	上证主板	航空装备Ⅲ|航空装备Ⅱ|国防军工	BK1384|BK1231|BK1204	破增发价股|中盘价值|中盘股|低空经济|飞行汽车(eVTOL)|标准普尔|富时罗素|MSCI中国|大飞机|军民融合|沪股通|上证380|无人机|中证500|央国企改革|通用航空|融资融券|军工|航天航空	BK1673|BK1670|BK1664|BK1166|BK1157|BK0879|BK0867|BK0821|BK0814|BK0808|BK0707|BK0705|BK0704|BK0701|BK0683|BK0625|BK0596|BK0490|BK0480	2026-06-20 11:26:42
sh600039	四川路桥	sh_main	上证主板	基建市政工程|基础建设|建筑装饰	BK1472|BK1247|BK1209	大盘价值|大盘股|电池技术|红利股|价值股|雅下水电概念|磷化工|碳交易|标准普尔|富时罗素|MSCI中国|PPP模式|一带一路|沪股通|举牌|央国企改革|上证180_|融资融券|西部大开发|锂电池概念|成渝特区|HS300_|工程建设	BK1666|BK1663|BK1648|BK1641|BK1640|BK1192|BK1010|BK0966|BK0879|BK0867|BK0821|BK0721|BK0712|BK0707|BK0685|BK0683|BK0612|BK0596|BK0590|BK0574|BK0534|BK0500|BK0425	2026-06-20 11:26:42
sh600048	保利发展	sh_main	上证主板	住宅开发|房地产|房地产开发	BK1346|BK1202|BK0451	金融地产风格|2025年报预减|大盘价值|大盘股|行业龙头|周期股|长期破净|破净股|REITs概念|标准普尔|富时罗素|租售同权|MSCI中国|证金持股|沪股通|央国企改革|养老概念|上证180_|融资融券|机构重仓|转债标的|参股券商|HS300_	BK1714|BK1678|BK1666|BK1663|BK1661|BK1639|BK1635|BK1112|BK0992|BK0879|BK0867|BK0822|BK0821|BK0718|BK0707|BK0683|BK0653|BK0612|BK0596|BK0552|BK0528|BK0514|BK0500	2026-06-20 11:26:42
sh600050	中国联通	sh_main	上证主板	电信运营商|通信|通信服务	BK1587|BK1215|BK0736	科技风格|破增发价股|大盘价值|大盘股|通信技术|价值股|中特估|数据要素|算力概念|破净股|数据安全|数据中心|卫星互联网|WiFi|IPv6|标准普尔|富时罗素|超清视频|华为概念|区块链|MSCI中国|5G概念|量子科技|沪股通|阿里概念|央国企改革|大数据|上证180_|上证50_|融资融券|移动支付|物联网|参股银行|中字头|HS300_	BK1713|BK1673|BK1666|BK1663|BK1650|BK1640|BK1139|BK1135|BK1134|BK1112|BK1047|BK0922|BK0921|BK0915|BK0897|BK0879|BK0867|BK0859|BK0854|BK0830|BK0821|BK0714|BK0710|BK0707|BK0689|BK0683|BK0634|BK0612|BK0611|BK0596|BK0556|BK0554|BK0525|BK0505|BK0500	2026-06-20 11:26:42
sh600051	宁波联合	sh_main	上证主板	综合Ⅲ|综合|综合Ⅱ	BK1627|BK1217|BK0539	长期破净|微盘股|破净股|内贸流通|长江三角|机构重仓|QFII重仓	BK1635|BK1158|BK1112|BK1001|BK0594|BK0552|BK0535	2026-06-20 11:26:42
sh600052	东望时代	sh_main	上证主板	热力服务|电力|公用事业	BK1379|BK0428|BK0427	电池技术|最近多板|储能概念|影视概念|股权转让|体育产业|央国企改革|长江三角|锂电池概念|参股银行	BK1648|BK1638|BK0989|BK0847|BK0803|BK0708|BK0683|BK0594|BK0574|BK0525	2026-06-20 11:26:42
sh600053	*ST九鼎	sh_main	上证主板	资产管理|非银金融|多元金融	BK1364|BK1203|BK0738	人形机器人|机器人概念|标准普尔|富时罗素|参股新三板|ST股|创投	BK1184|BK1090|BK0879|BK0867|BK0600|BK0511|BK0506	2026-06-20 11:26:42
sh600054	黄山旅游	sh_main	上证主板	自然景区|旅游及景区|社会服务	BK1563|BK1272|BK1214	破增发价股|文娱消费|低空经济|人工智能|沪股通|IPO受益|旅游概念|央国企改革|电商概念|长江三角|参股券商|AB股|旅游酒店	BK1673|BK1654|BK1166|BK0800|BK0707|BK0697|BK0692|BK0683|BK0665|BK0594|BK0514|BK0498|BK0485	2026-06-20 11:26:42
sh600055	万东医疗	sh_main	上证主板	医疗设备|医药生物|医疗器械	BK1605|BK1216|BK1041	破增发价股|小盘价值|小盘股|AI制药（医疗）|互联医疗|沪股通|阿里概念|医疗器械概念|大数据|融资融券	BK1673|BK1668|BK1643|BK1170|BK0837|BK0707|BK0689|BK0668|BK0634|BK0596	2026-06-20 11:26:42
sh600056	中国医药	sh_main	上证主板	医药流通|医药生物|医药商业	BK1607|BK1216|BK1042	医药医疗风格|小盘股|内贸流通|流感|标准普尔|富时罗素|证金持股|沪股通|央国企改革|医疗器械概念|融资融券|中字头	BK1712|BK1643|BK1001|BK0906|BK0879|BK0867|BK0718|BK0707|BK0683|BK0668|BK0596|BK0505	2026-06-20 11:26:42
sh600057	厦门象屿	sh_main	上证主板	原材料供应链服务|交通运输|物流	BK1490|BK1210|BK0422	小盘价值|小盘股|红利股|价值股|数据要素|农业种植|富时罗素|冷链物流|一带一路|沪股通|上证380|央国企改革|土地流转|融资融券|股权激励|参股银行	BK1668|BK1643|BK1641|BK1640|BK1135|BK0888|BK0867|BK0852|BK0712|BK0707|BK0705|BK0683|BK0632|BK0596|BK0567|BK0525	2026-06-20 11:26:42
sh600058	五矿发展	sh_main	上证主板	贸易Ⅲ|商贸零售|贸易Ⅱ	BK1550|BK1213|BK0484	微利股|内贸流通|沪股通|小金属概念|央国企改革|电商概念|融资融券|新材料	BK1642|BK1001|BK0707|BK0695|BK0683|BK0665|BK0596|BK0523	2026-06-20 11:26:42
sh600059	古越龙山	sh_main	上证主板	其他酒类|非白酒|食品饮料	BK1578|BK1279|BK0438	破增发价股|味蕾经济|啤酒概念|网红经济|白酒|沪股通|央国企改革|电商概念|融资融券|长江三角|机构重仓|参股银行|酿酒概念	BK1673|BK1653|BK1073|BK0940|BK0896|BK0707|BK0683|BK0665|BK0596|BK0594|BK0552|BK0525|BK0477	2026-06-20 11:26:42
