date,equity,cash,position_value,shares
2025-10-28,101985.05,93486.05,8499.0,300
2025-10-29,102023.12,93470.12,8553.0,300
2025-10-30,101884.14,93454.14,8430.0,300
2025-10-31,101562.39,93438.39,8124.0,300
2025-11-03,101585.72,93422.72,8163.0,300
2025-11-04,101405.03,93407.03,7998.0,300
2025-11-05,101323.52,93391.52,7932.0,300
2025-11-06,101379.96,93375.96,8004.0,300
2025-11-07,101247.41,93360.41,7887.0,300
2025-11-10,101279.87,93344.87,7935.0,300
2025-11-11,101165.3,93329.3,7836.0,300
2025-11-12,101062.78,93313.78,7749.0,300
2025-11-13,101014.15,101014.15,0.0,0
2025-11-14,100918.39,93313.39,7605.0,300
2025-11-17,101302.08,7285.08,94017.0,3700
2025-11-18,101793.97,94068.97,7725.0,300
2025-11-19,100233.98,6475.98,93758.0,3700
2025-11-20,97420.66,6363.66,91057.0,3700
2025-11-21,95351.77,6255.77,89096.0,3700
2025-11-24,96613.06,6148.06,90465.0,3700
2025-11-25,97428.13,6038.13,91390.0,3700
2025-11-26,97224.9,89730.9,7494.0,300
2025-11-27,96823.19,5063.19,91760.0,3700
2025-11-28,96605.61,89129.61,7476.0,300
2025-12-01,96752.35,89114.35,7638.0,300
2025-12-02,96632.04,89099.04,7533.0,300
2025-12-03,96526.76,89083.76,7443.0,300
2025-12-04,96559.56,89068.56,7491.0,300
2025-12-05,96550.31,89053.31,7497.0,300
2025-12-08,96667.05,89038.05,7629.0,300
2025-12-09,96768.41,96768.41,0.0,0
2025-12-10,96768.41,96768.41,0.0,0
2025-12-11,96768.41,96768.41,0.0,0
2025-12-12,96888.67,89373.67,7515.0,300
2025-12-15,96822.19,96822.19,0.0,0
2025-12-16,96702.46,89508.46,7194.0,300
2025-12-17,96699.14,96699.14,0.0,0
2025-12-18,96714.41,89418.41,7296.0,300
2025-12-19,96732.28,89403.28,7329.0,300
2025-12-22,96927.54,82029.54,14898.0,600
2025-12-23,96475.63,5122.63,91353.0,3700
2025-12-24,95052.49,87660.49,7392.0,300
2025-12-25,95034.31,87645.31,7389.0,300
2025-12-26,95058.15,87630.15,7428.0,300
2025-12-29,95039.95,87614.95,7425.0,300
2025-12-30,95018.76,87599.76,7419.0,300
2025-12-31,94964.57,87584.57,7380.0,300
2026-01-05,95144.39,87569.39,7575.0,300
2026-01-06,95924.09,6709.09,89215.0,3500
2026-01-07,95609.09,6709.09,88900.0,3500
2026-01-08,95743.36,95743.36,0.0,0
2026-01-09,96796.99,6111.99,90685.0,3500
2026-01-12,100558.45,6058.45,94500.0,3500
2026-01-13,97597.96,6002.96,91595.0,3500
2026-01-14,100782.96,6002.96,94780.0,3500
2026-01-15,100063.09,5948.09,94115.0,3500
2026-01-16,100693.09,5948.09,94745.0,3500
2026-01-19,103260.9,53184.9,50076.0,1800
2026-01-20,99520.36,5895.36,93625.0,3500
2026-01-21,98960.36,5895.36,93065.0,3500
2026-01-22,98260.36,5895.36,92365.0,3500
2026-01-23,98855.36,5895.36,92960.0,3500
2026-01-26,96895.36,5895.36,91000.0,3500
2026-01-27,96475.36,5895.36,90580.0,3500
2026-01-28,95950.36,5895.36,90055.0,3500
2026-01-29,95215.36,5895.36,89320.0,3500
