date,equity,cash,position_value,shares
2025-09-23,147634.8,9958.8,137676.0,1200
2025-09-24,150935.93,9875.93,141060.0,1200
2025-09-25,160390.99,9790.99,150600.0,1200
2025-09-26,154230.44,9702.44,144528.0,1200
2025-09-29,154362.44,9702.44,144660.0,1200
2025-09-30,152714.24,9614.24,143100.0,1200
2025-10-09,157406.24,9614.24,147792.0,1200
2025-10-10,145559.41,9527.41,136032.0,1200
2025-10-13,147143.41,9527.41,137616.0,1200
2025-10-14,136127.41,9527.41,126600.0,1200
2025-10-15,136199.66,136199.66,0.0,0
2025-10-16,136199.66,136199.66,0.0,0
2025-10-17,136199.66,136199.66,0.0,0
2025-10-20,136199.66,136199.66,0.0,0
2025-10-21,136443.6,125622.6,10821.0,100
2025-10-22,136844.53,114914.53,21930.0,200
2025-10-23,136496.0,125740.0,10756.0,100
2025-10-24,137114.34,125722.34,11392.0,100
2025-10-27,135871.62,9371.62,126500.0,1100
2025-10-28,134221.62,9371.62,124850.0,1100
2025-10-29,134582.01,123149.01,11433.0,100
2025-10-30,134195.99,123130.99,11065.0,100
2025-10-31,133758.22,123113.22,10645.0,100
2025-11-03,133741.87,123095.87,10646.0,100
2025-11-04,133800.39,123078.39,10722.0,100
2025-11-05,133723.08,123061.08,10662.0,100
2025-11-06,134493.53,123043.53,11450.0,100
2025-11-07,134291.77,134291.77,0.0,0
2025-11-10,133855.66,123165.66,10690.0,100
2025-11-11,133749.09,123148.09,10601.0,100
2025-11-12,133550.04,112642.04,20908.0,200
2025-11-13,133628.23,123073.23,10555.0,100
2025-11-14,133126.02,123056.02,10070.0,100
2025-11-17,133076.0,133076.0,0.0,0
2025-11-18,133113.0,123070.0,10043.0,100
2025-11-19,133052.01,123053.01,9999.0,100
2025-11-20,133031.87,123035.87,9996.0,100
2025-11-21,132596.01,123019.01,9577.0,100
2025-11-24,132020.56,7740.56,124280.0,1300
2025-11-25,131323.95,7589.95,123734.0,1300
2025-11-26,131256.03,121479.03,9777.0,100
2025-11-27,131240.4,12284.4,118956.0,1200
2025-11-28,131135.09,12143.09,118992.0,1200
2025-12-01,134675.73,124562.73,10113.0,100
2025-12-02,134506.71,124545.71,9961.0,100
2025-12-03,134331.74,124528.74,9803.0,100
2025-12-04,134494.95,124511.95,9983.0,100
2025-12-05,134388.04,124495.04,9893.0,100
2025-12-08,134611.12,124478.12,10133.0,100
2025-12-09,134497.1,134497.1,0.0,0
2025-12-10,134491.2,125479.2,9012.0,100
2025-12-11,135181.24,9699.24,125482.0,1400
2025-12-12,133941.55,133941.55,0.0,0
2025-12-15,133689.67,125141.67,8548.0,100
2025-12-16,129773.65,13965.65,115808.0,1400
2025-12-17,134197.4,13825.4,120372.0,1400
2025-12-18,132446.65,123958.65,8488.0,100
2025-12-19,132527.63,123942.63,8585.0,100
2025-12-22,132669.54,123926.54,8743.0,100
2025-12-23,132951.46,10227.46,122724.0,1400
2025-12-24,132090.18,10080.18,122010.0,1400
2025-12-25,131285.72,9933.72,121352.0,1400
2025-12-26,129921.95,9787.95,120134.0,1400
2025-12-29,128909.8,9643.8,119266.0,1400
2025-12-30,129047.0,9501.0,119546.0,1400
2025-12-31,128990.52,120426.52,8564.0,100
2026-01-05,129190.51,120410.51,8780.0,100
2026-01-06,129341.35,120394.35,8947.0,100
2026-01-07,129292.09,120378.09,8914.0,100
2026-01-08,129661.83,120361.83,9300.0,100
2026-01-09,129651.25,129651.25,0.0,0
2026-01-12,132663.64,7876.64,124787.0,1300
2026-01-13,126757.51,7807.51,118950.0,1300
2026-01-14,129266.51,7807.51,121459.0,1300
2026-01-15,128850.51,7807.51,121043.0,1300
2026-01-16,129331.51,7807.51,121524.0,1300
2026-01-19,130319.51,7807.51,122512.0,1300
2026-01-20,127225.51,7807.51,119418.0,1300
2026-01-21,135506.51,7807.51,127699.0,1300
2026-01-22,133769.79,7734.79,126035.0,1300
2026-01-23,132417.79,7734.79,124683.0,1300
2026-01-26,128933.79,7734.79,121199.0,1300
2026-01-27,128348.79,7734.79,120614.0,1300
2026-01-28,126762.79,7734.79,119028.0,1300
2026-01-29,124227.79,7734.79,116493.0,1300
2026-01-30,123827.17,114850.17,8977.0,100
2026-02-02,123378.28,105944.28,17434.0,200
2026-02-03,123485.86,114710.86,8775.0,100
2026-02-04,123317.75,114694.75,8623.0,100
2026-02-05,123196.64,123196.64,0.0,0
2026-02-06,123196.64,123196.64,0.0,0
2026-02-09,123313.74,114190.74,9123.0,100
2026-02-10,123294.36,114174.36,9120.0,100
2026-02-11,123095.97,114157.97,8938.0,100
2026-02-12,123353.64,114141.64,9212.0,100
2026-02-13,123295.27,114125.27,9170.0,100
2026-02-24,123258.73,114108.73,9150.0,100
2026-02-25,123154.36,114092.36,9062.0,100
2026-02-26,123279.0,114076.0,9203.0,100
2026-02-27,123277.63,114059.63,9218.0,100
2026-03-02,123088.33,114043.33,9045.0,100
2026-03-03,122931.99,122931.99,0.0,0
2026-03-04,122931.99,122931.99,0.0,0
2026-03-05,122931.99,122931.99,0.0,0
2026-03-06,122887.15,114468.15,8419.0,100
2026-03-09,123113.3,114452.3,8661.0,100
2026-03-10,123291.99,123291.99,0.0,0
2026-03-11,123291.99,123291.99,0.0,0
2026-03-12,123291.99,123291.99,0.0,0
2026-03-13,120517.61,13597.61,106920.0,1200
2026-03-16,119353.61,13597.61,105756.0,1200
2026-03-17,116065.61,13597.61,102468.0,1200
2026-03-18,116182.67,107433.67,8749.0,100
2026-03-19,116015.51,116015.51,0.0,0
2026-03-20,115865.66,107489.66,8376.0,100
2026-03-23,115431.92,107473.92,7958.0,100
2026-03-24,115524.08,115524.08,0.0,0
2026-03-25,115731.27,107426.27,8305.0,100
2026-03-26,115606.45,107410.45,8196.0,100
2026-03-27,115537.82,107394.82,8143.0,100
2026-03-30,115369.21,107379.21,7990.0,100
2026-03-31,115223.64,107363.64,7860.0,100
2026-04-01,115387.03,107348.03,8039.0,100
2026-04-02,112781.82,11277.82,101504.0,1300
2026-04-03,112413.02,11156.02,101257.0,1300
2026-04-07,112338.17,104544.17,7794.0,100
2026-04-08,112818.56,104528.56,8290.0,100
2026-04-09,112842.83,104512.83,8330.0,100
2026-04-10,113026.95,104496.95,8530.0,100
2026-04-13,112947.88,112947.88,0.0,0
2026-04-14,112947.88,112947.88,0.0,0
2026-04-15,112947.88,112947.88,0.0,0
2026-04-16,112910.5,6122.5,106788.0,1200
2026-04-17,114026.5,6122.5,107904.0,1200
2026-04-20,116421.39,6057.39,110364.0,1200
2026-04-21,113271.89,5991.89,107280.0,1200
2026-04-22,116199.89,5991.89,110208.0,1200
2026-04-23,116722.49,61714.49,55008.0,600
2026-04-24,117170.7,15134.7,102036.0,1100
2026-04-27,118741.85,15077.85,103664.0,1100
2026-04-28,115012.04,15022.04,99990.0,1100
2026-04-29,114483.14,5979.14,108504.0,1200
2026-04-30,117531.14,5979.14,111552.0,1200
2026-05-06,125739.14,5979.14,119760.0,1200
2026-05-07,124515.78,15890.78,108625.0,1100
2026-05-08,121761.99,15831.99,105930.0,1100
2026-05-11,125886.99,15831.99,110055.0,1100
2026-05-12,122934.08,15772.08,107162.0,1100
2026-05-13,126553.08,15772.08,110781.0,1100
2026-05-14,123058.08,15709.08,107349.0,1100
2026-05-15,119615.08,15709.08,103906.0,1100
2026-05-18,124279.08,15709.08,108570.0,1100
2026-05-19,123795.08,15709.08,108086.0,1100
2026-05-20,123927.08,15709.08,108218.0,1100
2026-05-21,118284.08,15709.08,102575.0,1100
2026-05-22,118355.96,108875.96,9480.0,100
2026-05-25,118630.0,99340.0,19290.0,200
2026-05-26,118206.0,99340.0,18866.0,200
2026-05-27,114718.36,14629.36,100089.0,1100
2026-05-28,114583.45,105458.45,9125.0,100
2026-05-29,114263.92,105441.92,8822.0,100
2026-06-01,114281.61,114281.61,0.0,0
2026-06-02,114281.61,114281.61,0.0,0
2026-06-03,114351.75,105719.75,8632.0,100
2026-06-04,114143.8,105703.8,8440.0,100
2026-06-05,113924.95,105687.95,8237.0,100
2026-06-08,111824.8,9761.8,102063.0,1300
2026-06-09,114157.63,9637.63,104520.0,1300
2026-06-10,116055.35,107785.35,8270.0,100
2026-06-11,116319.63,10538.63,105781.0,1300
2026-06-12,118256.1,110041.1,8215.0,100
2026-06-15,121166.21,10081.21,111085.0,1300
2026-06-16,121267.67,112820.67,8447.0,100
2026-06-17,121455.82,112804.82,8651.0,100
2026-06-18,121646.45,121646.45,0.0,0
